"VR","Version 2.0","","","","","","","","","","","","","","","","",""
"HD","Job ID","Job Name","Sheet Set Name","Category Name","Date and Time Started","Date and Time Completed","USERID","Profile ID","SheetName","Full File Path","Selected Layout Name","Page Setup Name","Named Page Setup Path","Device Name","Plot File Path","Paper Size Name","Plotted to 3DDWF","Final Status"
"SH","8","","","","9/5/2018 3:27:17 PM","9/5/2018 3:27:36 PM","","","","G:\63893\Building\3893_BD1.dwg","S-1.2","","","DWG To PDF.pc3","C:\Users\dngo\Documents\New folder\3893_BD1-S-1.2.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","8","","","","","9/5/2018 3:27:36 PM","","","","","","","","","","","","Plotted"
"JS","9","","","","9/5/2018 3:31:35 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","9","","","","9/5/2018 3:31:35 PM","9/5/2018 3:31:53 PM","","","","G:\63893\Building\3893_BD1.dwg","S-1.3","","","DWG To PDF.pc3","C:\Users\dngo\Documents\New folder\3893_BD1-S-1.3.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","9","","","","","9/5/2018 3:31:53 PM","","","","","","","","","","","","Plotted"
"JS","10","","","","9/5/2018 3:32:44 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","10","","","","9/5/2018 3:32:44 PM","9/5/2018 3:33:03 PM","","","","G:\63893\Building\3893_BD1.dwg","S-1.4","","","DWG To PDF.pc3","C:\Users\dngo\Documents\New folder\3893_BD1-S-1.4.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","10","","","","","9/5/2018 3:33:03 PM","","","","","","","","","","","","Plotted"
"JS","11","","","","9/5/2018 3:42:51 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","11","","","","9/5/2018 3:42:51 PM","9/5/2018 3:44:43 PM","","","3893_BD2-4-S-2.2","G:\63893\Building\3893_BD2-4.dwg","S-2.2","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Documents\New folder\xx.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","11","","","","","9/5/2018 3:44:44 PM","","","","","","","","","","","","Plotted"
"JS","1","","","","9/5/2018 4:14:36 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","1","","","","9/5/2018 4:14:36 PM","9/5/2018 4:14:39 PM","","","","C:\Users\dngo\Desktop\0822PL1.dwg","Layout1","","","Bluebeam PDF10 Printer HighRes.pc3","C:\Users\dngo\AppData\Local\Temp\Bluebeam Software\62906641.ps","ANSI_A_(8.50_x_11.00_Inches)","0","Plotted"
"JF","1","","","","","9/5/2018 4:14:39 PM","","","","","","","","","","","","Plotted"
"JS","12","","","","9/5/2018 3:59:02 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","12","","","","9/5/2018 3:59:02 PM","9/5/2018 3:59:04 PM","","","3893_SN-1-SN-1 (30x42)","G:\63893\DET\3893_SN-1.dwg","SN-1 (30x42)","","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 3:59:04 PM","9/5/2018 3:59:50 PM","","","3893_BD1-S-1.1","G:\63893\Building\3893_BD1.dwg","S-1.1","","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 3:59:50 PM","9/5/2018 4:00:18 PM","","","3893_BD1-S-1.2","G:\63893\Building\3893_BD1.dwg","S-1.2","","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:00:18 PM","9/5/2018 4:00:46 PM","","","3893_BD1-S-1.3","G:\63893\Building\3893_BD1.dwg","S-1.3","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
